table_name,field_name,include_in_metric_view,usage_category,description
catalog.schema.dim_date,DimensionDate_sk,False,surrogate_key,Unique system-generated identifier for each date
catalog.schema.dim_date,DimensionDate,True,dimension_candidate,Calendar date value
catalog.schema.dim_date,DimensionMonthDate,True,dimension_candidate,"First day of the month for the given date (e.g., 2024-01-01 for any date in January 2024)"
catalog.schema.dim_date,MonthName,True,dimension_candidate,"Full name of the month (e.g., 'January', 'February')"
catalog.schema.dim_date,MonthAbbreviatedName,True,dimension_candidate,"Three-letter abbreviated month name (e.g., 'Jan', 'Feb', 'Mar')"
catalog.schema.dim_date,CurrentMonthNumber,True,dimension_candidate,Sequential month number counting from a baseline (rolling month identifier for trending)
catalog.schema.dim_date,MonthOfYearNumber,True,dimension_candidate,"Month number within the year (1=January, 2=February, ..., 12=December)"
catalog.schema.dim_date,MonthYearName,True,dimension_candidate,"Month and year combined for display (e.g., 'January 2024' or 'Jan 2024')"
catalog.schema.dim_date,MonthFirstDayDate,True,dimension_candidate,First day of the month (same as DimensionMonthDate)
catalog.schema.dim_date,MonthLastDayDate,True,dimension_candidate,"Last day of the month (e.g., Jan 31, Feb 28/29, etc.)"
catalog.schema.dim_date,PriorMonthLastDayDate,True,dimension_candidate,Last day of the previous month
catalog.schema.dim_date,DimensionQuarterDate,True,dimension_candidate,"First day of the calendar quarter (Jan 1, Apr 1, Jul 1, Oct 1)"
catalog.schema.dim_date,QuarterName,True,dimension_candidate,"Quarter name with year (e.g., 'Q1 2024', 'Q2 2024')"
catalog.schema.dim_date,CurrentQuarterNumber,True,dimension_candidate,Sequential quarter number counting from a baseline (rolling quarter identifier)
catalog.schema.dim_date,YearQuarter,True,dimension_candidate,"Quarter number within the year (1=Q1, 2=Q2, 3=Q3, 4=Q4)"
catalog.schema.dim_date,QuarterFirstDayDate,True,dimension_candidate,First day of the quarter (same as DimensionQuarterDate)
catalog.schema.dim_date,QuarterLastDayDate,True,dimension_candidate,"Last day of the quarter (Mar 31, Jun 30, Sep 30, Dec 31)"
catalog.schema.dim_date,DimensionYear,True,dimension_candidate,"Four-digit calendar year (e.g., 2024, 2025)"
catalog.schema.dim_date,CurrentYearNumber,True,dimension_candidate,Sequential year number counting from a baseline (rolling year identifier)
catalog.schema.dim_date,YearFirstDayDate,True,dimension_candidate,First day of the calendar year (January 1st)
catalog.schema.dim_date,YearLastDayDate,True,dimension_candidate,Last day of the calendar year (December 31st)
catalog.schema.dim_date,YearMonth,True,dimension_candidate,"Year and month as integer in YYYYMM format (e.g., 202401 for January 2024)"
catalog.schema.dim_date,Year-Month,True,dimension_candidate,"Year and month formatted as string (e.g., '2024-01', '2024-02')"
catalog.schema.dim_date,DayNumber,True,dimension_candidate,Day of the month (1-31)
catalog.schema.dim_date,DaySuffixName,True,dimension_candidate,"Day of month with ordinal suffix (e.g., '1st', '2nd', '3rd', '15th', '31st')"
catalog.schema.dim_date,DayOfYearNumber,True,dimension_candidate,Day number within the calendar year (1-365 or 1-366 for leap years)
catalog.schema.dim_date,CurrentDayNumber,True,dimension_candidate,Sequential day number counting from a baseline (rolling day identifier)
catalog.schema.dim_date,WeekDayNumber,True,dimension_candidate,"Day of week as number (typically 1-7, where 1=Sunday or 1=Monday depending on system)"
catalog.schema.dim_date,WeekDayName,True,dimension_candidate,"Full name of the day of week (e.g., 'Monday', 'Tuesday', 'Wednesday')"
catalog.schema.dim_date,WeekDayAbbreviatedName,True,dimension_candidate,"Three-letter abbreviated day name (e.g., 'Mon', 'Tue', 'Wed')"
catalog.schema.dim_date,ISOWeek,True,dimension_candidate,ISO 8601 week number within the year (1-53). ISO weeks start on Monday and the first week contains January 4th.
catalog.schema.dim_date,CaresourceWeek,True,dimension_candidate,Organization-specific week number (may differ from ISO week based on fiscal calendar or business rules)
catalog.schema.dim_date,WeekOfYearNumber,True,dimension_candidate,Week number within the calendar year (1-52 or 1-53)
catalog.schema.dim_date,WeekOfMonthNumber,True,dimension_candidate,"Week number within the month (1-5, depending on how weeks are counted)"
catalog.schema.dim_date,WeekFirstDayDate,True,dimension_candidate,First day of the week (typically Sunday or Monday depending on system configuration)
catalog.schema.dim_date,WeekLastDayDate,True,dimension_candidate,Last day of the week (typically Saturday or Sunday depending on system configuration)
catalog.schema.dim_date,WeekendFlag,True,dimension_candidate,"Flag indicating if the date is a weekend (1=weekend, 0=weekday). Typically Saturday and Sunday."
catalog.schema.dim_date,HolidayFlag,True,dimension_candidate,"Flag indicating if the date is a company-recognized holiday (1=holiday, 0=not holiday)"
catalog.schema.dim_date,HolidayName,True,dimension_candidate,"Name of the holiday (e.g., 'New Year's Day', 'Independence Day', 'Thanksgiving'). Null if not a holiday."
