table_name,column_name,data_type,comment
catalog.schema.marketproduct,MarketProduct_SK,bigint,
catalog.schema.marketproduct,ClientID,string,
catalog.schema.marketproduct,MarketCode,string,
catalog.schema.marketproduct,MarketDesc,string,
catalog.schema.marketproduct,ProductCode,string,
catalog.schema.marketproduct,ProductDesc,string,
catalog.schema.marketproduct,SubProductCode,string,
catalog.schema.marketproduct,SubProductDesc,string,
catalog.schema.marketproduct,MarketSubProductCode,string,
catalog.schema.marketproduct,ParentGroupSyskey,int,
catalog.schema.marketproduct,ParentGroupID,string,
catalog.schema.marketproduct,ParentGroupName,string,
catalog.schema.marketproduct,GroupSysKey,int,
catalog.schema.marketproduct,GroupID,string,
catalog.schema.marketproduct,GroupName,string,
catalog.schema.marketproduct,SubgroupSysKey,int,
catalog.schema.marketproduct,SubgroupID,string,
catalog.schema.marketproduct,SubgroupName,string,
catalog.schema.marketproduct,SubProgramCode,string,
catalog.schema.marketproduct,SubProgramDesc,string,
catalog.schema.marketproduct,ClassPlanID,string,
catalog.schema.marketproduct,ClassPlanDesc,string,
catalog.schema.marketproduct,ProductID,string,
catalog.schema.marketproduct,PlanProductDesc,string,
catalog.schema.marketproduct,ProductCategoryCode,string,
catalog.schema.marketproduct,ProductCategoryDesc,string,
catalog.schema.marketproduct,MinAge,int,
catalog.schema.marketproduct,MaxAge,int,
catalog.schema.marketproduct,PFKIndicator,string,
catalog.schema.provider,Provider_SK,bigint,
catalog.schema.provider,ProviderNPI,string,
catalog.schema.provider,ProviderFederalTaxID,string,
catalog.schema.provider,ProviderTaxID,string,
catalog.schema.provider,ProviderName,string,
catalog.schema.provider,ProviderTaxIDName,string,
catalog.schema.provider,ProviderTypeDesc,string,
catalog.schema.provider,ProviderSpecialtyDesc,string,
catalog.schema.provider,ProviderSecondarySpecialtyDesc,string,
catalog.schema.dim_date,DimensionDate_sk,bigint,
catalog.schema.dim_date,DimensionDate,date,
catalog.schema.dim_date,DimensionMonthDate,date,
catalog.schema.dim_date,MonthName,string,
catalog.schema.dim_date,MonthAbbreviatedName,string,
catalog.schema.dim_date,CurrentMonthNumber,bigint,
catalog.schema.dim_date,MonthOfYearNumber,int,
catalog.schema.dim_date,MonthYearName,string,
catalog.schema.dim_date,MonthFirstDayDate,date,
catalog.schema.dim_date,MonthLastDayDate,date,
catalog.schema.dim_date,PriorMonthLastDayDate,date,
catalog.schema.dim_date,DimensionQuarterDate,date,
catalog.schema.dim_date,QuarterName,string,
catalog.schema.dim_date,CurrentQuarterNumber,bigint,
catalog.schema.dim_date,YearQuarter,int,
catalog.schema.dim_date,QuarterFirstDayDate,date,
catalog.schema.dim_date,QuarterLastDayDate,date,
catalog.schema.dim_date,DimensionYear,int,
catalog.schema.dim_date,CurrentYearNumber,bigint,
catalog.schema.dim_date,YearFirstDayDate,date,
catalog.schema.dim_date,YearLastDayDate,date,
catalog.schema.dim_date,YearMonth,int,
catalog.schema.dim_date,Year-Month,string,
catalog.schema.dim_date,DayNumber,int,
catalog.schema.dim_date,DaySuffixName,string,
catalog.schema.dim_date,DayOfYearNumber,int,
catalog.schema.dim_date,CurrentDayNumber,bigint,
catalog.schema.dim_date,WeekDayNumber,int,
catalog.schema.dim_date,WeekDayName,string,
catalog.schema.dim_date,WeekDayAbbreviatedName,string,
catalog.schema.dim_date,ISOWeek,int,
catalog.schema.dim_date,CaresourceWeek,int,
catalog.schema.dim_date,WeekOfYearNumber,int,
catalog.schema.dim_date,WeekOfMonthNumber,int,
catalog.schema.dim_date,WeekFirstDayDate,date,
catalog.schema.dim_date,WeekLastDayDate,date,
catalog.schema.dim_date,WeekendFlag,int,
catalog.schema.dim_date,HolidayFlag,int,
catalog.schema.dim_date,HolidayName,string,
catalog.schema.dim_date,SeriesBusinessDay,string,
catalog.schema.dim_ndc,Ndc_SK,bigint,
catalog.schema.dim_ndc,NDCCode,string,
catalog.schema.dim_ndc,DrugProductDesc,string,
catalog.schema.dim_ndc,DrugLabelName,string,
catalog.schema.dim_ndc,DrugGenericName,string,
catalog.schema.dim_ndc,DrugBaseNameCode,string,
catalog.schema.dim_ndc,DrugNameExtensionCode,string,
catalog.schema.dim_ndc,DrugNameExtensionDesc,string,
catalog.schema.dim_ndc,DrugNameDoseFormCode,string,
catalog.schema.dim_ndc,DrugNameDoseFormDesc,string,
catalog.schema.dim_ndc,DrugManufacturerId,string,
catalog.schema.dim_ndc,DrugManufacturerName,string,
catalog.schema.dim_ndc,DrugSuperGroupCode,string,
catalog.schema.dim_ndc,DrugSuperGroupDesc,string,
catalog.schema.dim_ndc,DrugGroupCode,string,
catalog.schema.dim_ndc,DrugGroupDesc,string,
catalog.schema.dim_ndc,DrugClassCode,string,
catalog.schema.dim_ndc,DrugClassDesc,string,
catalog.schema.dim_ndc,DrugSubClassCode,string,
catalog.schema.dim_ndc,DrugSubClassDesc,string,
catalog.schema.dim_ndc,MediSpanDEAClassCode,string,
catalog.schema.dim_ndc,DatabaseCode,string,
catalog.schema.dim_ndc,OTCCode,string,
catalog.schema.dim_ndc,UnitOfMeasureCode,string,
catalog.schema.dim_ndc,MaintenanceDrugCode,string,
catalog.schema.dim_ndc,MaintenanceDrugDesc,string,
catalog.schema.dim_ndc,MaintenanceDrugFlag,int,
catalog.schema.dim_ndc,BrandProductFlag,int,
catalog.schema.dim_ndc,ControlledSubstanceFlag,int,
catalog.schema.dim_ndc,SpecialtyFlag,int,
catalog.schema.dim_ndc,GPINumber,string,
catalog.schema.dim_ndc,StartDate,string,
catalog.schema.dim_ndc,EndDate,string,
catalog.schema.dim_ndc,MediSpanDrugProductName,string,
catalog.schema.dim_ndc,MediSpanDrugProductGenericName,string,
catalog.schema.dim_ndc,MediSpanDrugProductShortDesc,string,
catalog.schema.dim_ndc,MedispanDrugAWPPriceTypeCode,string,
catalog.schema.dim_ndc,MedispanDrugAWPUnitPriceAmount,double,
catalog.schema.dim_ndc,MedispanDrugAWPPackagePriceAmount,double,
catalog.schema.dim_ndc,FDATherapeuticClassCode,string,
catalog.schema.dim_ndc,FDATherapeuticClassDesc,string,
catalog.schema.dim_pharmacy,Pharmacy_Sk,bigint,
catalog.schema.dim_pharmacy,PharmacyNCPDPID,string,
catalog.schema.dim_pharmacy,PharmacyNPI,string,
catalog.schema.dim_pharmacy,PharmacyTaxIDNumber,string,
catalog.schema.dim_pharmacy,PharmacyDEANumber,string,
catalog.schema.dim_pharmacy,PharmacyName,string,
catalog.schema.dim_pharmacy,PharmacyAddress,string,
catalog.schema.dim_pharmacy,PharmacyAddress2,string,
catalog.schema.dim_pharmacy,PharmacyCity,string,
catalog.schema.dim_pharmacy,PharmacyCounty,string,
